epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2698.52,0.67159,0.57174,0.8846,0.80084,0.77456,0.76923,0.64592,0.67246,0.6215,0.95104,0.003763,0.003763,0.003763
128,2719.22,0.66789,0.56276,0.88253,0.78312,0.76065,0.76987,0.63962,0.67477,0.61593,0.95204,0.0037135,0.0037135,0.0037135
129,2739.98,0.67027,0.56237,0.87599,0.73774,0.78592,0.77974,0.63792,0.67867,0.61966,0.95404,0.003664,0.003664,0.003664
130,2760.7,0.66502,0.54622,0.87767,0.75759,0.74577,0.77779,0.63361,0.67509,0.61507,0.95748,0.0036145,0.0036145,0.0036145
131,2781.46,0.65553,0.55828,0.87908,0.78614,0.76029,0.78058,0.6423,0.68022,0.61754,0.96058,0.003565,0.003565,0.003565
132,2802.19,0.665,0.53589,0.87266,0.79219,0.77267,0.78927,0.64839,0.67848,0.61129,0.96079,0.0035155,0.0035155,0.0035155
133,2822.96,0.65897,0.54691,0.87832,0.8413,0.74068,0.78366,0.6484,0.67482,0.61413,0.95788,0.003466,0.003466,0.003466
134,2843.68,0.64714,0.54394,0.8737,0.81851,0.7393,0.78069,0.64724,0.6743,0.61708,0.9582,0.0034165,0.0034165,0.0034165
135,2864.42,0.66072,0.54282,0.87594,0.80277,0.74533,0.78628,0.65353,0.67659,0.61031,0.95795,0.003367,0.003367,0.003367
136,2885.13,0.63721,0.52508,0.87174,0.76865,0.77802,0.77649,0.64964,0.67342,0.60224,0.95832,0.0033175,0.0033175,0.0033175
137,2905.86,0.6469,0.52483,0.87343,0.78278,0.74558,0.78125,0.64565,0.67607,0.60543,0.96373,0.003268,0.003268,0.003268
138,2926.62,0.6377,0.52002,0.8749,0.82839,0.71439,0.78898,0.64697,0.66989,0.60139,0.95813,0.0032185,0.0032185,0.0032185
139,2947.37,0.63642,0.51513,0.87465,0.80937,0.73118,0.76819,0.62979,0.66597,0.60595,0.9543,0.003169,0.003169,0.003169
140,2968.09,0.64434,0.52975,0.87146,0.80221,0.73249,0.75526,0.62299,0.66093,0.60093,0.95056,0.0031195,0.0031195,0.0031195
141,2988.83,0.63272,0.49996,0.87045,0.79644,0.741,0.74931,0.61446,0.66231,0.58583,0.95326,0.00307,0.00307,0.00307
142,3009.57,0.63972,0.52822,0.87162,0.80872,0.78926,0.76533,0.63047,0.66709,0.59095,0.9525,0.0030205,0.0030205,0.0030205
143,3030.31,0.64557,0.5136,0.87301,0.79866,0.7626,0.75013,0.61977,0.66721,0.59586,0.95597,0.002971,0.002971,0.002971
144,3051.02,0.64271,0.51047,0.87483,0.79769,0.77118,0.77326,0.6364,0.66895,0.6053,0.9571,0.0029215,0.0029215,0.0029215
145,3071.75,0.63054,0.49804,0.86025,0.79868,0.75716,0.77091,0.63569,0.67033,0.61221,0.95976,0.002872,0.002872,0.002872
146,3092.49,0.62474,0.51716,0.86974,0.79526,0.75657,0.75448,0.61567,0.6678,0.61714,0.95929,0.0028225,0.0028225,0.0028225
147,3113.2,0.63388,0.50435,0.86818,0.81046,0.73966,0.76533,0.62901,0.66856,0.60488,0.96449,0.002773,0.002773,0.002773
148,3133.91,0.63247,0.51084,0.86999,0.75684,0.77928,0.7729,0.63412,0.67188,0.60152,0.96382,0.0027235,0.0027235,0.0027235
149,3154.65,0.62998,0.50495,0.86452,0.7841,0.77488,0.78373,0.64239,0.66933,0.59671,0.95926,0.002674,0.002674,0.002674
150,3175.35,0.62275,0.49985,0.86364,0.78053,0.75226,0.77143,0.63677,0.66614,0.60533,0.95829,0.0026245,0.0026245,0.0026245
151,3196.08,0.61744,0.48917,0.86927,0.78181,0.75389,0.77315,0.63553,0.66524,0.5946,0.95883,0.002575,0.002575,0.002575
152,3216.77,0.62251,0.49692,0.86897,0.811,0.71663,0.75423,0.62181,0.66325,0.6001,0.95519,0.0025255,0.0025255,0.0025255
153,3237.55,0.61549,0.48794,0.8668,0.80185,0.73551,0.75409,0.62168,0.66425,0.60217,0.9562,0.002476,0.002476,0.002476
154,3258.27,0.61727,0.49666,0.86586,0.79166,0.72856,0.7694,0.63505,0.66181,0.60676,0.95304,0.0024265,0.0024265,0.0024265
155,3278.97,0.614,0.47991,0.86684,0.81983,0.70713,0.76419,0.63143,0.66496,0.60701,0.95542,0.002377,0.002377,0.002377
156,3299.65,0.61686,0.49056,0.86489,0.81768,0.70889,0.78615,0.64693,0.66447,0.60724,0.95526,0.0023275,0.0023275,0.0023275
157,3320.38,0.61237,0.48624,0.86099,0.81673,0.70611,0.77949,0.64761,0.66599,0.60074,0.95735,0.002278,0.002278,0.002278
158,3351.19,0.59982,0.47459,0.86276,0.81261,0.72273,0.77667,0.64279,0.66776,0.59509,0.96003,0.0022285,0.0022285,0.0022285
159,3371.87,0.61184,0.48318,0.86508,0.79556,0.75962,0.78743,0.65069,0.66513,0.60688,0.95682,0.002179,0.002179,0.002179
160,3408.49,0.60797,0.48594,0.86019,0.78693,0.73089,0.78404,0.64658,0.66286,0.60711,0.95432,0.0021295,0.0021295,0.0021295
161,3429.21,0.60796,0.48422,0.86566,0.79884,0.7206,0.77254,0.63884,0.66554,0.60914,0.95515,0.00208,0.00208,0.00208
162,3465.82,0.59825,0.46242,0.86213,0.82676,0.69641,0.76641,0.64221,0.66265,0.61358,0.95357,0.0020305,0.0020305,0.0020305
163,3486.53,0.58802,0.47067,0.85831,0.85368,0.68949,0.78008,0.65143,0.66054,0.60385,0.95353,0.001981,0.001981,0.001981
164,3507.25,0.60144,0.46574,0.86038,0.84269,0.70039,0.7918,0.65853,0.6607,0.59139,0.9567,0.0019315,0.0019315,0.0019315
165,3542.63,0.58958,0.46734,0.86082,0.83795,0.70279,0.77965,0.64214,0.66048,0.58924,0.95708,0.001882,0.001882,0.001882
